# connections,p50,p75,p95
1,0.004684571,0.004684571,0.004684571
2,0.005039955,0.005039955,0.005039955
3,0.00495955,0.00495955,0.005023037
4,0.005950625,0.005950625,0.005954525
5,0.006199035,0.006228,0.006358197
6,0.006905914,0.006906094,0.006997271
7,0.007382581,0.007396643,0.007470305
8,0.00808219,0.008114627,0.008278495
9,0.012981653,0.013069287,0.013090303
10,0.013325253,0.013394325,0.013532243
11,0.016205944,0.016251263,0.016307042
12,0.015294556,0.015358015,0.015402404
13,0.016322215,0.01638088,0.016524698
14,0.017611498,0.017749666,0.017837741
15,0.018502791,0.018559569,0.01862857
16,0.023710765,0.023718418,0.023743817
17,0.027783578,0.02780109,0.027842842
18,0.023612352,0.023745349,0.023939623
19,0.025784075,0.026080734,0.026262276
20,0.026594053,0.026726305,0.026898192
21,0.027510031,0.027765405,0.027930469
22,0.02811703,0.028664053,0.028908682
23,0.031336719,0.031811194,0.031992041
24,0.033053237,0.033292083,0.033529173
25,0.037898697,0.037916816,0.037938142
26,0.036765118,0.036824442,0.037053311
27,0.036031089,0.036450399,0.03681285
28,0.036355038,0.036656414,0.039017458
29,0.036248116,0.036617573,0.042143004
30,0.036708861,0.037226663,0.04059817
31,0.024910541,0.025577889,0.025841281
32,0.037334972,0.037828285,0.038103087
33,0.028176023,0.031072757,0.031400947
34,0.040208184,0.040916271,0.04105923
35,0.042235834,0.0429601,0.043432598
36,0.041640465,0.042403643,0.042747421
37,0.042627649,0.043039824,0.043593859
38,0.044839575,0.045475421,0.046099473
39,0.046535153,0.047503328,0.048276158
40,0.047513086,0.048535826,0.049367214
41,0.03772058,0.047363827,0.048003281
42,0.039564608,0.049011321,0.050891027
43,0.050419275,0.051769149,0.052280822
44,0.049466257,0.050189177,0.051010512
45,0.050186148,0.051295889,0.051759483
46,0.056702939,0.056903452,0.057150631
47,0.053437565,0.054031644,0.055964762
48,0.049966351,0.050306419,0.055501738
49,0.05042027,0.05090811,0.054777903
50,0.053674177,0.054817082,0.05520363
51,0.058641642,0.059435021,0.059783546
52,0.055378028,0.057342617,0.058218645
53,0.057006374,0.058376653,0.058756896
54,0.058984607,0.059951565,0.060582916
55,0.056912359,0.058371988,0.058506079
56,0.063794287,0.0639217,0.064433949
57,0.062246904,0.0629686,0.063463417
58,0.046593088,0.047345016,0.04758283
59,0.051478971,0.051784807,0.0519037
60,0.051580709,0.051720834,0.052772099
61,0.055051326,0.055427636,0.055657448
62,0.053142685,0.053593613,0.054028834
63,0.058561755,0.058736999,0.058932445
64,0.058579217,0.058953169,0.05940372
65,0.060867255,0.061158577,0.061319783
66,0.058953979,0.059214188,0.059407517
67,0.065348372,0.066465367,0.066940773
68,0.064532908,0.064690492,0.064869383
69,0.064280035,0.064637261,0.064823675
70,0.076779464,0.077024677,0.077375944
71,0.067596817,0.067834573,0.068059375
72,0.068027677,0.068234552,0.068422532
73,0.073626004,0.074130877,0.074525672
74,0.076947205,0.08268274,0.083340635
75,0.068593565,0.069074264,0.077547375
76,0.085473541,0.088797437,0.089172804
77,0.066969868,0.082292506,0.082767189
78,0.081387461,0.081663831,0.082080856
79,0.069815657,0.079068206,0.079376166
80,0.058793745,0.081446391,0.08183501
81,0.068687721,0.069505676,0.069801227
82,0.079686882,0.081877861,0.082392746
83,0.073016374,0.076305348,0.076659995
84,0.075855301,0.091470602,0.092644485
85,0.088671623,0.090288468,0.091079852
86,0.092857542,0.109145243,0.109972736
87,0.067155984,0.084507625,0.085164558
88,0.086439865,0.086758874,0.098765199
89,0.085417768,0.099191683,0.099829284
90,0.099524359,0.105477267,0.10734581
91,0.075293916,0.099279815,0.102391877
92,0.084164856,0.099636456,0.100416475
93,0.090304762,0.090677114,0.100912854
94,0.099730763,0.100396998,0.100742559
95,0.103209694,0.103689942,0.104067787
96,0.103028112,0.103687536,0.108672362
97,0.094176889,0.094791793,0.0971557
98,0.092137638,0.09251258,0.101225559
99,0.09933902,0.099713004,0.100091726
100,0.108353724,0.108960151,0.109480185
101,0.104938561,0.10529986,0.105648911
102,0.090817417,0.103559625,0.104843273
103,0.104693173,0.105415279,0.109743187
104,0.102474065,0.104809855,0.107726281
105,0.087866315,0.08888285,0.107384183
106,0.087541541,0.088076736,0.105990832
107,0.073849578,0.103283157,0.103964609
108,0.089281948,0.089501597,0.089809232
109,0.09514187,0.095523663,0.09614248
110,0.096046035,0.096494106,0.09698789
111,0.098180733,0.099039038,0.100655302
112,0.103382185,0.103678711,0.104341768
113,0.10068835,0.10129158,0.102186201
114,0.097242058,0.157489485,0.157986326
115,0.118579835,0.119047309,0.119522085
116,0.107840458,0.108453088,0.108956993
117,0.118941353,0.119410138,0.120061718
118,0.103025736,0.111510314,0.112169014
119,0.115292683,0.116414799,0.122275641
120,0.103019409,0.114281641,0.117347909
121,0.11646714,0.11798147,0.124997923
122,0.106823457,0.107845899,0.115468071
123,0.125316563,0.136886828,0.13808593
124,0.11394609,0.121087345,0.127848338
125,0.126477021,0.128631121,0.138996731
126,0.143955882,0.145328361,0.1461825
127,0.13993392,0.140588116,0.141290388
128,0.133871914,0.140256458,0.140912026
129,0.119679906,0.138656585,0.145618851
130,0.104843895,0.125037304,0.135640657
131,0.114852939,0.116493352,0.117007263
132,0.14610958,0.147017181,0.148194246
133,0.125689826,0.126306619,0.128982503
134,0.147434134,0.148146879,0.14894017
135,0.122100435,0.151311699,0.152488519
136,0.143260619,0.14435692,0.147817872
137,0.144607679,0.146236077,0.147528052
138,0.142664602,0.147194283,0.155064658
139,0.15115049,0.151765138,0.154790382
140,0.148534829,0.149306918,0.154728069
141,0.156307238,0.159104034,0.16427969
142,0.141005667,0.141804834,0.160143332
143,0.158501583,0.159500852,0.160427372
144,0.1421847,0.155881492,0.157456899
145,0.140099051,0.157096636,0.163076864
146,0.146483497,0.147194381,0.166335977
147,0.168258479,0.170529078,0.177237404
148,0.136589226,0.151743152,0.163050613
149,0.155207887,0.155960556,0.165726354
150,0.142204713,0.157776368,0.173757872
151,0.132261581,0.133568369,0.134418819
152,0.17131695,0.172066462,0.172699637
153,0.17470345,0.178644034,0.193337157
154,0.188833899,0.190203126,0.190972244
155,0.155320523,0.156745775,0.170126428
156,0.198634412,0.199616333,0.201531155
157,0.193422949,0.19540873,0.202311466
158,0.160589881,0.161804849,0.163824991
159,0.143413173,0.144243359,0.145606107
160,0.137985401,0.13919189,0.150502703
161,0.162643867,0.16391941,0.164585378
162,0.15608266,0.157102009,0.158086109
163,0.144779508,0.145527204,0.146185493
164,0.166654934,0.167734495,0.176393803
165,0.178935808,0.17962283,0.180754703
166,0.155353374,0.170292378,0.172263845
167,0.174551786,0.175636273,0.176510052
168,0.148075231,0.148353427,0.148765388
169,0.177788988,0.178588148,0.183746594
170,0.189883904,0.191249617,0.194332799
